match_id,toss_winner,match_won_by,player_of_match,season
1422119,"Royal Challengers Bengaluru","Chennai Super Kings","Mustafizur Rahman",2024
1422120,"Punjab Kings","Punjab Kings","SM Curran",2024
1422121,"Sunrisers Hyderabad","Kolkata Knight Riders","AD Russell",2024
1422122,"Rajasthan Royals","Rajasthan Royals","SV Samson",2024
1422123,"Mumbai Indians","Gujarat Titans","B Sai Sudharsan",2024
1422124,"Royal Challengers Bengaluru","Royal Challengers Bengaluru","V Kohli",2024
1422125,"Gujarat Titans","Chennai Super Kings","S Dube",2024
1422126,"Mumbai Indians","Sunrisers Hyderabad","Abhishek Sharma",2024
1422127,"Delhi Capitals","Rajasthan Royals","R Parag",2024
1422128,"Kolkata Knight Riders","Kolkata Knight Riders","SP Narine",2024
1422129,"Lucknow Super Giants","Lucknow Super Giants","MP Yadav",2024
1422130,"Sunrisers Hyderabad","Gujarat Titans","MM Sharma",2024
1422131,"Delhi Capitals","Delhi Capitals","KK Ahmed",2024
1422132,"Rajasthan Royals","Rajasthan Royals","TA Boult",2024
1422133,"Royal Challengers Bengaluru","Lucknow Super Giants","MP Yadav",2024
1422134,"Kolkata Knight Riders","Kolkata Knight Riders","SP Narine",2024
1422135,"Punjab Kings","Punjab Kings","Shashank Singh",2024
1422136,"Sunrisers Hyderabad","Sunrisers Hyderabad","Abhishek Sharma",2024
1422137,"Rajasthan Royals","Rajasthan Royals","JC Buttler",2024
1422138,"Delhi Capitals","Mumbai Indians","R Shepherd",2024
1422139,"Lucknow Super Giants","Lucknow Super Giants","Yash Thakur",2024
1426260,"Chennai Super Kings","Chennai Super Kings","RA Jadeja",2024
1426261,"Punjab Kings","Sunrisers Hyderabad","Nithish Kumar Reddy",2024
1426262,"Gujarat Titans","Gujarat Titans","Rashid Khan",2024
1426263,"Mumbai Indians","Mumbai Indians","JJ Bumrah",2024
1426264,"Lucknow Super Giants","Delhi Capitals","Kuldeep Yadav",2024
1426265,"Rajasthan Royals","Rajasthan Royals","SO Hetmyer",2024
1426266,"Kolkata Knight Riders","Kolkata Knight Riders","PD Salt",2024
1426267,"Mumbai Indians","Chennai Super Kings","M Pathirana",2024
1426268,"Royal Challengers Bengaluru","Sunrisers Hyderabad","TM Head",2024
1426269,"Rajasthan Royals","Rajasthan Royals","JC Buttler",2024
1426270,"Delhi Capitals","Delhi Capitals","RR Pant",2024
1426271,"Punjab Kings","Mumbai Indians","JJ Bumrah",2024
1426272,"Lucknow Super Giants","Lucknow Super Giants","KL Rahul",2024
1426273,"Delhi Capitals","Sunrisers Hyderabad","TM Head",2024
1426274,"Royal Challengers Bengaluru","Kolkata Knight Riders","AD Russell",2024
1426275,"Punjab Kings","Gujarat Titans","R Sai Kishore",2024
1426276,"Mumbai Indians","Rajasthan Royals","Sandeep Sharma",2024
1426277,"Lucknow Super Giants","Lucknow Super Giants","MP Stoinis",2024
1426278,"Gujarat Titans","Delhi Capitals","RR Pant",2024
1426279,"Royal Challengers Bengaluru","Royal Challengers Bengaluru","RM Patidar",2024
1426280,"Punjab Kings","Punjab Kings","JM Bairstow",2024
1426281,"Mumbai Indians","Delhi Capitals","J Fraser-McGurk",2024
1426282,"Rajasthan Royals","Rajasthan Royals","SV Samson",2024
1426283,"Royal Challengers Bengaluru","Royal Challengers Bengaluru","WG Jacks",2024
1426284,"Sunrisers Hyderabad","Chennai Super Kings","RD Gaikwad",2024
1426285,"Delhi Capitals","Kolkata Knight Riders","CV Varun",2024
